#,Photo/Example,CATEGORY,TITLE,DESIGN QUESTION and PROMPTS,TEXT / ADDITIONAL INFORMATION / EXAMPLES
1,,Introduction,Name of Deck,Example: Jump-Start Creativity,"Example: Created by Hector Lavoe, First Edition, 2025."
2,,Introduction,About This Deck,What the design deck is for. How to use my design deck.,"Offer a short paragraph that explains the genesis of the deck and its purpose. Offer a short paragraph that explains how to use it, the categories, and any unique features."
3,,Introduction,Legend (or “Key”),Example: These are the symbols used in the deck,"Explain the colors, icons, set-up, and structure of each card."
4,,Inspiration,Size Matters!,An Inspiring Quote and/or Image,"Chunky Knit (2016) is composed of twisted tubes meticulously knit by Veega Tankun. Knotted together in a braid-like design, threaded through a wooden frame, and held in place with a yellow cord."
5,,Inspiration,Be Engaging,An Inspiring Quote and/or Image,Globe Garden Chair by Peter Opsvik overcomes stereotypical sitting habits. Ask your user to engage in new ways!
6,,Inspiration,Less is a Bore,An Inspiring Quote and/or Image,"Modernist or Post-Modernist, design with intent. Geometry, color, material, and size are all up for grabs!"
7,,Inspiration,Make Them Laugh,An Inspiring Quote and/or Image,Pratone Chair (1971) by Gruppo Strum plays with proportion and material incongruities with oversized blades of polyurethane foam grass.
8,,Inspiration,About Manufacturing,An Inspiring Quote and/or Image,"With Varier Ekstrem (2020), Terje Ekstrøm distills seating to its most basic form, then exaggerates it with thick cushioned columns that curve and intersect."
9,,Inspiration,Have Fun,An Inspiring Quote and/or Image,Exploded Chair by Joyce Lin is produced with an optical illusion that makes its wood and acrylic parts appear to be falling apart.
10,,Make/Source,Trash to Treasure,What waste material can I use as an innovative raw material?,"The Wassily Chair by Marcel Breuer (1925) uses leather, a by-product of meat production, and as of 2021, a part of a $400 billion industry."
11,,Make/Source,Put It Back,Can biological or technological materials return to their origins?,"By Shigeru Ban, the Carta Chair (1996) is made of beech plywood, and rolled cardboard—all materials that can return to their origins once discarded."
12,,Make/Source,Global or Local,Would an LCA prefer global or local manufacture?,"The Rag Chair, by Tejo Remy, is made with locally sourced scrap materials bound into the shape of a chair."
13,,Make/Source,Everything A Season,"Can I work with what is, instead of what will be, or was?","Peter Cook grew a tree into the shape of a living chair, with arm rests."
14,,Make/Source,Be Re-Wasteful,What waste from my concept can be put back to work?,"“Stackabl” by Stacklab & Maison Gerard is made with felted wool, aluminum, and wood, all locally-sourced factory off-cuts."
15,,Make/Source,Simplify the Steps,How many manufacturing and sourcing steps can I eliminate?,"Gerrit Rietveld’s chair rejects conventional chair features: 2 arms, 4 legs, a padded seat. Each board joins the next at mathematically precise angles with a bare minimum of supports, nuts, and bolts."
16,,Make/Source,Single Material,What if this concept were made with a singular material source?,"The Spun Chair (2010) by Thomas Heatherwick answers the question, ""Can a rotationally symmetrical form make a comfortable chair? Yes, it can…and it can be fun!"""
17,,Make/Source,Evolution,Can my concept adapt with a user over a longer period of time?,Zaisu Chair (1966) by Kenji Fujimori is a single sheet of plywood bent into a 3D curved surface whose central hole prevents displacement of the cushion by friction with the tatami mat. Only what’s needed.
18,,Make/Source,Disassembly,Can my user separate biological and technological materials?,"The Floyd Chair by D2 Design separates its metal, plywood, and fasteners for easier recycling, reuse, and repair."
19,,Make/Source,Design on a Diet,"Regarding weight for sourcing and shipping, is my concept as light as possible?",Jonathan de Pas designed the first inflatable furniture. The “Blow Chair” (1967) has since been replicated in a variety of colors and inspired a movement of inflatable couches and more.
20,,Make/Source,Layer,Maybe eco-materials used repetitively can offer the answer I need?,"The Cabbage Chair by Nendo is handmade from rolls of waste paper, which are peeled away to reveal functional organic sculptures."
21,,Make/Source,Include Environment,Does the Space Of Use for my concept afford a clever opportunity?,"Lawn Chair-Couch by Earth Furniture uses a built structure to create the chair. Filled with dirt and planted grass, it is a seat that is part of nature, which reduces materials, and increases eco-awareness."
22,,Make/Source,Hollow Out,Is all of the mass of my concept necessary? Can it be easily eliminated?,"Tatami Chair (2008) by Kenya Hara is an abstract approach to what is absolutely necessary. Use the floor, not the legs, and use the body, not mass, to provide the only thing a chair MUST do—support a torso."
23,,Make/Source,2D → 3D,Many materials come in sheets. Can my virgin sheet be folded from 2D into 3D?,"One Shot by Materialise.MGX is a stool that can collapse into a flat by twisting, which provides compactness for storage."
24,,Make/Source,Bend It,"Like folding or twisting, would bending open up any opportunity?",The GJ Chair (1963) by Grete Jalk evokes a sheet of plywood formed into a delicately folded ribbon.
25,,Make/Source,User Assembly,"Whether assembling or designing, how can I involve the user into the final concept?","Not technically needing user assembly, the Sacco Chair (1968) was designed by Gatti, Paolini, and Teodoro as a “universal” seat that would easily adapt to any body, in any position."
26,,Make/Source,Merge Surfaces,Do any of my concept’s existing parts have unique relationships that ought to be exploited?,Land Peel by Shin Yamashita uses this concept to reduce material. It is a floormat that can be folded up into a variety of furniture settings.
27,,Make/Source,Biomimicry,Is there inspiration I can pull from nature to solve my current problem?,Bone Chair by Joris Laarman takes inspiration from the way human bones grow by reinforcing areas under higher stress.
28,,Make/Source,For Zero Waste,How have I addressed reducing waste during the sourcing and making of my concept?,This folding chair is a digital file that a user can purchase for download to then reproduce at home…and sell if desired.
29,,Make/Source,Rethink,Remember to explore the use of materials repurposed for different functions.,The Campana brothers “Sushi III” (2002) chair takes its name from the preparation of a sushi roll. Its pieces of fabric have been rolled and sewn together into cylinders and then cut laterally.
30,,Make/Source,Repurpose,Remember to explore the use of objects repurposed for different functions.,"This suitcase was retrofitted into a chair, minimizing additional required materials, and providing a second life for objects otherwise intended for disposal."
31,,Make/Source,Make the Choice,Have I chosen the materials? Or were they assumed on behalf of the brief?,Fungus furniture is a series of chairs made from mushrooms. Mycelium is the network of all the threads of a fungus and has excellent insulating and moisture-absorbing properties.
32,,Make/Source,Use the Recycled,Am I sourcing recycling and/or responsibly managed materials?,The Favela Chair (2002) by the Campana Brothers was made using slits of timber glued together. The source material was trash found near a fruit market.
33,,Make/Source,Time to Strip!,Have I truly optimized my design to reduce material waste and manufacturing impact?,"The Nobody Chair (2007) by Komplot Design is made of heated and pressed industrial felt from recycled plastic bottles. No screws or reinforcements are needed for a streamlined, stackable silhouette."
34,,Make/Source,Bio-Materials,Can I use materials (1) derived from renewable resources or (2) that are biodegradable?,"Made from potato, corn, and bamboo, Kuskoa Bi (2015) by Jean Louis Iratzoki is the first chair on the market with a 100% bioplastic seat."
35,,Product or Packaging,Made to Order,Can my concept only use what a user requires?,FLAPPS is a mere 20 mm flat chair and a fashionable decorative object even when folded. Very little material is wasted in its creation.
36,,Product or Packaging,Modularity,Are modular/replaceable components my answer to extending the life of my concept?,"Matali Crasset’s “Self-made Seat” pulls from a refusal of seeing sofas monopolize our living spaces. It can be changed around depending on the activities, the number of people, and the time of day."
37,,Product or Packaging,Only What is Needed,Have I distilled my concept to only what is needed…to the Minimum Lovable Product (MLP)?,"Hans Wegner designed the Tripod Chair No. 4103 (1952) with 3 legs to improve stability on uneven farm floors, whose back legs extend to hold a simple back rest. The triangular seat reduces material."
38,,Product or Packaging,Partner Up,"With whom can I partner (user, manufacturer, distributor, etc) to facilitate my concept’s creation?",IKEA perfected customer participation with flat packing design. Mon Siege A Moi created this Book Chair with four pieces of flat wood and some cushions.
39,,Product or Packaging,Design to Encourage,How does my design encourage positive behavior?,"Jaime Pitarch creates contemporary sculpture out of household objects, asking us to reconsider their function, from chairs to eyeglasses."
40,,Product or Packaging,Nine Lives,How many additional lives can I design into my concept?,"The Tripp-Trapp Chair is a highchair design that adjusts to fit any child from a baby, to a toddler, to a child. Other versions even transform into chairs and desks."
41,,Product or Packaging,Integration,"Can user instructions, storage, or other features be integrated?","Metamorphic chair from the 1800s (designer unknown) is a chair that unfolds into a step stool, integrating multiple features."
42,,Product or Packaging,Eliminate Redundancy,Is there any element in my concept that can replace another…2 birds with one stone?,"Elephant Chair (2002) by Ben Ryujki Miyagi, is made of industrial felt folded on itself enough to create the rigidity needed for a sturdy chair."
43,,Product or Packaging,Challenge Inheritance,"Don’t be afraid to depart from the product’s precursor. Is everything that “was,” still necessary?",Rocking chair “Feijão” by Rodrigo Simão whose production uses heat and water to bend and shape the wood in such a way that junctions are near invisible.
44,,Product or Packaging,Make it Visible,Am I working too hard to disguise elements in my design that might be worth highlighting?,"For Kenny (2013), Yael Mer and Shay Alkalay gave flat material a 3D shape (like pattern-making in fashion). They also pulled out individual threads to reveal more of the weft, creating a striped pattern."
45,,Product or Packaging,Diversify,Different people do things…differently! Does my solution allow many users access to several options?,"French designer Matali Crasset has designed a simple, yet stylish eco-friendly piece that requires little thought, while still providing a whole lot of convenience. Dubbed “Double Side,” Crasset’s latest creation for Italian firm Danese Milano is a chair and desk in-one!"
46,,Product or Packaging,Multi-Functionality,Maybe my concept can offer additional second-hand affordances for my user?,"Family by Kaman Tung is a set of cafe chairs that have compartments for storage of purses, coats, or other belongings."
47,,Product or Packaging,Add Natural Features,"Beyond biomimicry, aesthetic inspiration from nature could be additive.",Ginkgo Chair (1996) by Claude Lalanne pulls inspiration directly from the leaf of a ginkgo tree and is finished with patinated bronze.
48,,Product or Packaging,Add to What Is,Have I first evaluated what actually needs to be fixed? Is there anything worth keeping?,Kaboost Corp. makes a product that attaches to any dining chair to turn it into a high chair for children.
49,,Product or Packaging,Reorient,"3-Dimensionality in space, with relation to time. How does my concept exist in each relationship?",Hi Lo kids chair by Age Design provides three seating options to go from baby to toddler seat.
50,,Product or Packaging,Animate,Would my concept benefit from anthropomorphism? How does it invite people to engage?,"In 1962, Mexican artist Pedro Friedeberg commissioned a local carpenter to make a hand big enough to sit in. This result fits seamlessly into classical and contemporary spaces alike."
51,,Product or Packaging,Compartmentalize,Would it help to divide my concept into separate units with multiple functions?,Bookseat by Fishbol Design Atelier is a chair with storage compartments that can be used for books and magazines. An all-in-one reading nook!
52,,Product or Packaging,Expand or Collapse,"Can the volume or area of my idea get larger or smaller with aid of fluids, inflatables, or flexible joints?",Decompression chair by Matali Crasset uses an inflatable structure packaged inside to turn a wooden chair into a lounge seat.
53,,Product or Packaging,Flatten,"For shipping and portability, is my idea as flat as possible?",Folding Chair (1929) by Jean Prouvé is made of hollow steel tubes and stretched canvas. It is light and solid. And its foldability allows it to vertically compress when stacked.
54,,Product or Packaging,Attach and Detach,Would my concept benefit from being separatable?,Sex-Fiction by Fortunato and Fontanilo is a lounge chair with male and female connectors to let it transform from a chair and ottoman into a chaise lounge.
55,,Product or Packaging,Mirror or Array,"Reflecting or repeating can distribute force, reduce manufacturing costs, and enhance appeal.","Daldai by Mikko Paakkanen is formed like a piece of a pie. When arrayed around a central access, a circular conversation banquette can be created."
56,,Product or Packaging,Nest It,"For too many reasons, is it possible to fit or fold my idea into itself?",The 40/4 Chair (1969) is the first truly stackable chair fitting 40 chairs in 4 feet of space. Designed by David Rowland.
57,,Product or Packaging,Offer Options,Would the idea benefit from a shared or swappable part with other similar products?,"Kristian Vedel designed the Child’s Chair (1957) of lacquered plywood. Interchangeable parts can be joined to form multiple configurations, individual chairs or a table adjustable seat and tray table."
58,,Product or Packaging,Repeat and Renew,"Need I replicate any components to enhance function, allowing for multiple, simultaneous use?","Chair by Jie Jyun Lu is a chair that uses repeated cushions on a single frame. When removed from the frame, the cushions become individual and additional seated pads."
59,,Product or Packaging,Human Power,"Instead of electricity, can I get my user to engage in my idea’s manifestation?",Count on Me Chair (2012) by Eva Korea is a chair and an abacus at the same time.
60,,Product or Packaging,Rearrange,Can I use modularity to transform the state of my idea?,Modular Chair by Takumi Yoshida is a seat made of a singular component that can be rearranged and snapped together to form both single and double-sided chairs and benches.
61,,Product or Packaging,Just Complete It,How can I outsource the product’s actualization to the user?,"A curious thought experiment, the Two Legged Chair by Benoit Malta requires a user’s legs to complete the chair in order to balance upright. “The best way to stay awake when seated.”"
62,,Product or Packaging,Its Like Skin,"Can my idea be as permeable, selective, active, changeable, and intelligent as my skin?","The Noho Move Chair is the first dining chair that actively responds to the rocking, flexing, and fidgeting we all do while we sit, consciously or not. It adapts to movement like our skin."
63,,Product or Packaging,Remove One Thing,"When I think I am finished, ask myself, “What is one more way I can simplify or eliminate?”","The Cantilever Chair S33 (1925) took the world by storm. Mart Stam asked, “Why use four legs, when two are enough?” Bended steel tubes provide structure and flexibility."
64,,Product or Packaging,Repurpose,Is there any way to reuse something for my idea OR repurpose my idea for something else?,"Fernando and Humberto Campana created the Banquete Chair (2002) of stuffed animals, an unconventional material that can easily serve a second job…like becoming a chair!"
65,,Distribution and End of Life,Concentrate,"What is unnecessary in my concept, or can be acquired/added by the user?",Lina Bo Bardi created the Girafa Chair (1987) from various hardwoods. It elegantly satisfies only the essential needs of a chair.
66,,Distribution and End of Life,Piggy Back,"What ways can I reduce transportation, material and disposal impacts with my idea?","Joe Colombo designed the Tube Chair (1969). Modular, flexible, simple, and customizable. It travels within itself!"
67,,Distribution and End of Life,Bulk It,"Have I solved for ways to maximize transport shipping the most, for the least, at the lightest?","Stacking Chair (1937) by Marcel Breuer, replaced his usual tubular steel with laminated and molded birch plywood to achieve a lightness in two pieces."
68,,Distribution and End of Life,Give Nine Lives,How/Where/When can I intentionally extend the life of my idea?,"The Multi-Use Chair (1942) by Frederick Kiesler can be oriented in four different ways, including sideways to become a coffee table."
69,,Distribution and End of Life,Up-Cycle,What if my idea could actually get better with time/use…like wine?,"The Beaver Chairs (1987) by Frank Gehry put cardboard back to work, upcycling discarded materials into masterfully designed pieces."
70,,Distribution and End of Life,Post-Retirement,Have I helped consumers know what to do with my product after its primary function is fulfilled?,"The Red Chair by Eames is sold through Herman Miller, a company who offers customers ways to Reuse, Resell, Recycle, or Relocate their products."
71,,Distribution and End of Life,Disassemble It,Do any co-mingled materials exist in my product? Can these parts instead be disassembled?,"By Franz West, the Uncle Chair (2002) uses recycled strips of industrial textiles that are bound and woven together and can be removed to be recycled separate from the frame."
72,,Distribution and End of Life,Write the Obituary,Have I made it easy for my user to discard parts no longer needed?,"Chishen Chiu made FlexibleLove to seat 1-12 people, depending upon its expansion. Paper-made, disposal is intuitive."
73,,Distribution and End of Life,Take It Back,Can I shift this product’s design to work for any sort of Take-Back business model?,"Emeco Stack Chair (2020) is made of factory floor chaff: plastics, wood shavings, and recycled aluminum. Send the company your old chair, and they’ll put the materials back into production."
74,,Distribution and End of Life,Incentivize,How can I facilitate positive user behavior with my design or business model?,"An AI-created chair made of ice. Use it long enough, and its end-of-life will be self-fulfilling."
